county,unemployment,med_income
12063,3.2,"42,721"
12065,3.2,"56,130"
12067,3.1,"45,732"
12069,3.0,"64,662"
12071,3.1,"66,426"
12073,3.0,"57,246"
12075,3.5,"45,494"
12077,3.2,"48,271"
12079,3.3,"43,444"
12081,2.9,"67,929"
12083,3.4,"54,555"
12085,2.7,"67,059"
12086,2.6,"58,905"
12087,1.9,"68,975"
12089,2.5,"78,069"
12091,2.4,"69,053"
12093,3.1,"47,642"
12095,2.9,"64,579"
12097,3.4,"60,495"
12099,2.9,"70,024"
12101,3.0,"59,555"
12103,2.6,"61,851"
12105,3.5,"56,344"
12107,4.1,"38,759"
12109,2.3,"94,662"
12111,3.4,"62,378"
12113,2.7,"80,837"
12115,2.9,"71,630"
12117,2.7,"70,470"
12119,4.1,"69,707"
12121,3.2,"46,284"
12123,3.3,"47,083"
12125,2.9,"48,667"
12127,3.1,"58,246"
12129,2.5,"71,962"
12131,2.6,"64,779"
12133,3.2,"47,930"
13000,3.0,"66,507"
13001,3.6,"46,530"
13003,2.7,"40,303"
13005,2.9,"43,154"
13007,4.0,"44,106"
13009,4.0,"44,685"
13011,2.2,"60,485"
13013,2.5,"67,646"
13015,2.9,"67,604"
13017,4.3,"39,863"
13019,3.2,"46,404"
13021,3.7,"47,859"
13023,4.3,"51,770"
13025,3.5,"48,076"
13027,3.1,"40,936"
13029,2.6,"87,334"
13031,3.4,"53,105"
13033,5.2,"46,977"
13035,2.8,"61,471"
13037,3.2,"38,232"
13039,3.0,"63,482"
13043,2.4,"41,593"
13045,3.1,"59,894"
13047,2.7,"64,245"
13049,3.1,"47,229"
13051,3.0,"61,527"
13053,4.6,"53,786"
13055,4.2,"42,974"
13057,2.4,"96,997"
13059,3.3,"49,145"
13061,6.7,"35,957"
13063,3.9,"51,422"
13065,2.8,"44,799"
13067,2.6,"87,532"
13069,3.5,"36,708"
13071,2.8,"44,485"
13073,2.8,"87,281"
13075,3.1,"44,995"
13077,2.7,"85,182"
13079,3.1,"54,442"
13081,4.2,"41,505"
13083,2.6,"64,054"
13085,2.5,"76,903"
13087,3.2,"42,960"
13089,3.1,"70,756"
13091,3.7,"40,856"
13093,4.0,"43,270"
13095,4.3,"41,985"
13097,3.2,"66,162"
13099,3.6,"38,817"
13101,2.5,"42,241"
13103,2.6,"76,626"
13105,3.7,"42,866"
13107,4.1,"45,252"
13109,2.9,"41,847"
13111,2.7,"54,446"
13113,2.6,"92,319"
13115,3.1,"59,685"
13117,2.3,"120,919"
13119,3.2,"48,045"
13121,3.2,"82,820"
13123,3.1,"57,970"
13125,3.0,"49,175"
13127,2.9,"60,685"
13129,2.8,"56,053"
13131,3.0,"42,171"
13133,3.2,"65,261"
13135,2.7,"75,021"
13137,3.1,"55,987"
13139,2.4,"68,057"
13141,4.9,"35,830"
13143,3.0,"62,472"
13145,2.7,"80,911"
13147,3.0,"59,149"
13149,3.0,"50,379"
13151,3.2,"76,577"
13153,3.1,"71,609"
13155,4.0,"44,540"
13157,2.0,"72,486"
13159,2.6,"61,354"
13161,3.6,"42,192"
13163,4.0,"42,461"
13165,4.2,"38,497"
13167,2.9,"37,703"
13169,2.9,"61,509"
