county,total,white,black,native,asian,other
13247,93641,32.066,57.264,0.272,1.819,8.579
13249,4565,76.495,17.831,0.088,0,5.586
13251,14026,56.595,40.133,0.086,0.399,2.788
13253,9117,63.76,33.268,0.044,0.581,2.347
13255,67415,59.08,34.503,0.458,0.886,5.073
13257,26732,81.767,10.673,0.157,1.178,6.225
13259,5121,24.038,61.609,0.176,3.281,10.896
13261,29378,41.817,51.079,0.15,1.287,5.668
13263,5793,40.963,56.534,0.052,0.155,2.296
13265,1635,36.636,50.275,0,0.061,13.028
13267,24309,56.802,28.199,0.156,0.284,14.558
13269,7799,58.238,38.466,0.038,0.898,2.359
13271,12619,51.208,35.082,0.301,0.166,13.242
13273,9004,36.206,58.629,0,2.355,2.81
13275,45665,59.043,36.063,0.313,0.782,3.799
13277,41247,58.348,29.02,0.291,1.125,11.215
13279,26946,64.369,23.885,0.267,0.85,10.629
13281,12546,94.046,1.626,0.335,0.191,3.802
13283,6411,66.511,28.591,0.078,0,4.82
13285,69527,57.11,36.21,0.088,2.398,4.194
13287,8894,57.668,38.318,0.011,0,4.003
13289,7955,55.965,41.546,0.277,0.704,1.508
13291,24880,93.477,0.667,0.575,0.237,5.044
13293,27638,67.487,27.368,0.279,0.405,4.461
13295,68065,91.22,3.983,0.212,0.555,4.03
13297,97752,74.035,19.355,0.155,1.463,4.991
13299,35917,62.923,30.158,0.448,1.233,5.237
13301,5197,38.388,59.727,0,0.462,1.424
13303,19975,43.064,50.844,0.476,0.726,4.891
13305,30277,72.484,20.187,0.254,0.968,6.107
13307,2354,41.504,44.52,0,0,13.976
13309,7550,58.437,38.583,0.132,0,2.848
13311,28165,91.344,2.095,0.135,0.625,5.802
13313,103033,76.835,3.283,1.879,1.548,16.455
13315,8839,62.846,33.703,0,0,3.451
13317,9610,53.34,40.26,0.166,0,6.233
13319,8852,57.569,38.263,0.011,0.011,4.146
13321,20706,67.951,25.567,0.343,0.864,5.274
15001,202163,31.369,0.793,0.482,21.668,45.688
15003,1010100,19.329,2.518,0.242,42.255,35.656
15005,50,38,2,18,12,30
15007,73511,30.3,0.525,0.212,29.411,39.552
15009,164765,31.767,0.75,0.382,28.359,38.742
16001,497494,86.235,1.258,0.591,2.586,9.33
16003,4464,92.675,0.269,0.739,0,6.317
16005,87434,85.819,0.99,2.565,1.929,8.696
16007,6436,95.168,0.124,1.414,0.839,2.455
16009,9731,84.781,0.812,9.033,0.041,5.333
16011,48253,78.774,0.164,5.645,0.363,15.054
16013,24248,83.524,0.483,1.567,0.425,14.001
16015,7809,89.922,0.359,1.204,0.781,7.735
